id_fatura,id_pedido,data_emissao,data_vencimento,valor_fatura,status_fatura,dias_em_atraso
49,14726,2022-03-28,2022-04-04,623.23,paga,0
50,34023,2022-07-04,2022-07-25,366.27,paga,0
51,104463,2022-10-02,2022-10-23,2152.48,paga,0
52,72481,2025-09-08,2025-09-22,993.71,atrasada,3
53,92312,2022-07-30,2022-08-06,886.47,atrasada,15
54,25656,2022-02-09,2022-02-16,119.35,aberta,0
55,107186,2022-11-27,2022-12-18,798.83,atrasada,3
56,18973,2023-11-08,2023-11-22,896.74,paga,0
57,32070,2022-11-07,2022-12-07,233.85,aberta,0
58,7706,2023-02-26,2023-03-19,463.21,atrasada,7
59,23783,2024-01-21,2024-02-11,599.84,paga,0
60,9392,2023-05-21,2023-06-04,581.96,aberta,0
61,40621,2025-08-05,2025-08-05,1439.33,paga,0
62,102880,2022-01-06,2022-01-13,1505.44,paga,0
63,105241,2024-01-25,2024-02-08,371.65,paga,0
64,119595,2022-10-30,2022-11-06,1012.01,atrasada,3
65,101186,2024-09-17,2024-10-17,847.77,paga,0
66,3355,2025-03-29,2025-04-19,1303.15,paga,0
67,61557,2025-03-08,2025-03-29,331.76,paga,0
68,5675,2024-12-12,2024-12-19,877.65,paga,0
69,34406,2023-08-27,2023-09-03,494.41,aberta,0
70,12813,2024-04-21,2024-05-21,484.46,aberta,0
71,93558,2024-08-07,2024-09-06,549.81,aberta,0
72,32835,2025-02-13,2025-02-27,2215.69,aberta,0
73,111478,2022-05-25,2022-06-08,1156.41,paga,0
74,82324,2025-02-13,2025-02-27,233.08,paga,0
75,15003,2022-09-23,2022-09-30,489.43,paga,0
76,22176,2024-06-14,2024-06-21,1411.38,paga,0
77,97047,2023-05-13,2023-05-27,622.55,aberta,0
78,108234,2023-07-08,2023-07-22,641.08,aberta,0
79,79025,2023-06-25,2023-07-25,995.66,paga,0
80,11556,2024-05-10,2024-05-31,633.06,aberta,0
81,103918,2025-04-28,2025-05-12,1014.43,paga,0
82,114991,2024-10-27,2024-11-26,246.6,paga,0
83,105055,2024-11-16,2024-12-07,320.55,paga,0
84,43343,2024-12-23,2025-01-13,205.73,paga,0
85,31731,2025-02-16,2025-02-23,812.71,paga,0
86,33144,2023-08-19,2023-09-02,695.09,paga,0
87,40453,2022-08-14,2022-09-13,1086.06,paga,0
88,64414,2024-09-13,2024-10-04,2226.45,atrasada,7
89,45383,2023-05-13,2023-05-27,326.69,atrasada,3
90,59552,2025-06-17,2025-07-01,297.68,paga,0
91,55872,2024-10-29,2024-11-19,199.2,aberta,0
92,16323,2023-10-23,2023-10-30,465.64,atrasada,1
93,24648,2023-02-26,2023-03-12,260.92,paga,0
94,116677,2022-03-07,2022-03-28,506.18,atrasada,7
95,77376,2024-05-02,2024-05-16,343.08,paga,0
96,93263,2023-03-11,2023-04-10,928.92,paga,0
97,115603,2025-01-25,2025-02-08,1879.3,aberta,0
98,79411,2024-03-04,2024-03-25,569.42,paga,0
99,28411,2023-05-02,2023-05-09,1091.88,paga,0
100,44865,2024-05-26,2024-06-02,426.52,atrasada,15
101,7513,2023-02-13,2023-03-15,301.71,atrasada,7
102,41455,2022-02-05,2022-03-07,947.31,paga,0
103,34821,2024-05-21,2024-06-20,640.33,paga,0
104,20596,2022-08-29,2022-09-28,940.52,paga,0
105,45254,2023-08-23,2023-09-06,414.21,paga,0
106,104880,2023-01-03,2023-01-10,550.61,paga,0
107,84501,2025-07-20,2025-07-27,474.62,aberta,0
108,16177,2024-06-06,2024-06-13,720.84,paga,0
109,115474,2023-04-01,2023-04-22,365.82,paga,0
110,11050,2022-07-06,2022-07-06,534.28,paga,0
111,118524,2022-06-16,2022-07-16,2234.39,paga,0
112,28128,2024-04-15,2024-05-06,1237.83,paga,0
113,73280,2024-11-08,2024-11-29,913.56,paga,0
114,81325,2025-08-14,2025-09-13,350.21,paga,0
115,28468,2025-07-19,2025-08-02,390.94,paga,0
116,89985,2023-03-26,2023-04-09,1835.64,paga,0
117,64642,2022-10-02,2022-10-16,742.24,atrasada,3
118,33554,2025-02-16,2025-03-09,361.75,paga,0
119,87633,2024-01-18,2024-01-18,859.65,aberta,0
120,6577,2024-11-17,2024-12-08,2332.88,paga,0
121,63390,2022-08-23,2022-09-13,913.98,paga,0
122,104814,2024-12-24,2025-01-14,962.24,paga,0
123,102731,2024-04-06,2024-04-13,1141.55,aberta,0
124,82547,2024-01-28,2024-02-18,1200.7,atrasada,1
125,102008,2023-04-24,2023-05-08,542.18,paga,0
126,100198,2024-05-16,2024-05-23,838.56,aberta,0
127,61293,2024-03-09,2024-03-23,286.96,paga,0
128,67937,2023-12-14,2023-12-28,398.91,aberta,0
129,102084,2023-08-23,2023-09-22,2540.91,aberta,0
130,79667,2022-06-22,2022-07-22,161.94,paga,0
131,27191,2025-06-13,2025-07-04,969.93,aberta,0
132,96801,2022-01-06,2022-01-20,945.48,aberta,0
133,34364,2024-07-11,2024-07-25,280.84,paga,0
134,6658,2024-09-22,2024-10-06,785.03,paga,0
135,79210,2024-01-04,2024-01-25,1110.55,paga,0
136,117907,2022-05-14,2022-05-14,457.36,paga,0
137,25844,2023-09-30,2023-10-30,746.57,paga,0
138,118851,2022-10-16,2022-11-15,1907.92,aberta,0
139,62563,2023-04-19,2023-04-26,394.48,paga,0
140,21432,2022-01-15,2022-02-05,1213.11,paga,0
141,45811,2024-03-01,2024-03-22,1005.98,paga,0
142,93772,2024-03-06,2024-04-05,517.56,paga,0
143,8614,2024-02-20,2024-03-05,1116.55,aberta,0
144,9444,2023-05-04,2023-05-18,283.86,paga,0
145,99013,2024-03-27,2024-04-03,892.79,paga,0
146,91720,2023-02-21,2023-03-23,517.62,paga,0
147,104178,2023-07-28,2023-08-27,328.8,paga,0
148,21601,2023-04-28,2023-05-19,807.22,paga,0
149,34565,2025-04-18,2025-04-18,757.47,paga,0
150,91699,2024-04-15,2024-04-29,751.9,aberta,0
151,35005,2022-05-05,2022-06-04,304.66,paga,0
152,77998,2024-01-31,2024-02-14,714.27,paga,0
153,117706,2025-06-25,2025-07-25,661.92,paga,0
154,24047,2025-07-11,2025-07-25,826.1,paga,0
155,60275,2024-11-29,2024-12-29,397.5,paga,0
156,95213,2024-10-19,2024-11-09,884.2,paga,0
157,112892,2023-10-31,2023-11-21,375.53,paga,0
158,96772,2025-05-14,2025-06-04,339.13,paga,0
159,44509,2022-07-10,2022-07-31,583.51,aberta,0
160,22187,2022-09-28,2022-10-19,708.09,paga,0
161,27186,2024-02-10,2024-02-24,817.9,paga,0
162,79771,2023-05-12,2023-06-02,1142.58,paga,0
163,30198,2025-02-16,2025-03-09,455.94,paga,0
164,93932,2022-06-06,2022-06-20,1552.58,paga,0
165,89315,2022-06-28,2022-07-12,1107.73,paga,0
166,108537,2025-06-04,2025-07-04,1531.92,aberta,0
167,55634,2023-12-16,2024-01-15,308.72,aberta,0
168,39281,2024-03-10,2024-03-31,1668.68,paga,0
169,26455,2023-02-20,2023-03-13,662.26,atrasada,30
170,116744,2022-12-23,2023-01-13,406.9,paga,0
171,115788,2023-08-15,2023-08-22,483.96,paga,0
172,25553,2025-07-18,2025-08-17,1672.83,atrasada,1
173,81060,2023-09-24,2023-10-15,512.16,paga,0
174,20091,2024-10-08,2024-10-29,617.76,paga,0
175,29550,2022-01-23,2022-02-22,572.66,paga,0
176,99839,2024-11-26,2024-12-03,834.84,paga,0
177,84681,2024-03-01,2024-03-01,487.12,atrasada,15
178,4484,2024-03-15,2024-04-14,471.27,aberta,0
179,4623,2024-12-22,2025-01-12,769.98,paga,0
180,112699,2024-09-29,2024-10-06,1191.48,paga,0
181,56503,2024-10-09,2024-10-30,894.75,paga,0
182,11267,2024-08-24,2024-09-14,439.96,paga,0
183,61317,2023-08-27,2023-09-26,556.14,aberta,0
184,67008,2023-05-07,2023-05-14,1027.77,paga,0
185,36509,2023-05-24,2023-05-31,746.86,paga,0
186,66886,2024-01-28,2024-02-27,1242.15,paga,0
187,69684,2022-07-14,2022-07-21,2268.09,paga,0
188,82506,2025-07-16,2025-08-06,523.69,atrasada,7
189,73971,2022-04-15,2022-05-06,1792.23,atrasada,30
190,40294,2025-09-23,2025-10-07,826.1,paga,0
191,69609,2023-07-05,2023-07-19,809.35,paga,0
192,46099,2023-05-19,2023-06-09,446.77,atrasada,15
193,45189,2025-03-24,2025-03-31,1085.66,paga,0
194,11371,2023-02-06,2023-02-27,592.22,paga,0
195,66925,2024-05-15,2024-05-29,1795.4,paga,0
196,69673,2024-07-14,2024-08-04,1025.13,aberta,0
197,92879,2022-01-25,2022-02-08,737.16,aberta,0
198,72217,2022-01-05,2022-01-26,872.16,aberta,0
199,51062,2024-03-19,2024-04-09,1705.77,atrasada,3
200,79715,2025-02-17,2025-02-24,1166.73,aberta,0
201,16100,2022-12-25,2023-01-08,544.49,paga,0
202,28562,2025-04-08,2025-04-22,795.65,aberta,0
203,11944,2022-10-03,2022-10-10,294.33,aberta,0
204,103093,2024-12-24,2025-01-07,214.43,paga,0
205,30665,2023-09-11,2023-10-02,1715.37,paga,0
206,93,2024-04-22,2024-05-06,725.19,paga,0
207,92959,2025-02-26,2025-02-26,861.17,paga,0
208,79537,2024-12-22,2025-01-12,571.82,paga,0
209,108623,2025-03-16,2025-03-30,1370.01,aberta,0
210,34418,2023-07-26,2023-08-16,994.69,atrasada,7
211,7628,2022-09-24,2022-10-24,1343.79,paga,0
212,8167,2024-02-24,2024-03-09,565.63,paga,0
213,45697,2023-10-14,2023-11-13,556.74,paga,0
214,22289,2023-06-01,2023-07-01,1847.24,paga,0
215,79672,2025-03-05,2025-03-26,396.84,paga,0
216,55529,2024-10-18,2024-10-25,753.05,aberta,0
217,46725,2023-05-10,2023-05-31,859.61,paga,0
218,81616,2023-09-05,2023-09-26,1506.44,aberta,0
219,112204,2023-03-11,2023-04-01,434.71,paga,0
220,78740,2024-07-22,2024-08-05,855.52,paga,0
221,15876,2025-06-16,2025-06-30,843.75,aberta,0
222,52281,2022-03-09,2022-03-30,717.91,paga,0
223,93527,2024-08-15,2024-08-29,998.95,paga,0
224,36622,2024-04-26,2024-05-26,269.73,aberta,0
225,24684,2022-11-11,2022-12-02,898.06,atrasada,3
226,55360,2023-07-21,2023-07-21,689.47,aberta,0
227,18552,2025-05-09,2025-05-09,371.67,paga,0
228,113750,2022-11-22,2022-12-13,389.08,paga,0
229,84086,2023-09-14,2023-10-05,618.52,paga,0
230,44540,2023-12-25,2024-01-08,397.41,paga,0
231,8558,2022-03-07,2022-03-28,1115.9,paga,0
232,78334,2023-05-24,2023-06-14,492.62,paga,0
233,61057,2023-12-09,2023-12-30,547.37,atrasada,15
234,86968,2023-04-02,2023-04-23,527.79,paga,0
235,52683,2025-07-29,2025-08-12,493.57,aberta,0
236,41391,2023-06-16,2023-06-30,869.59,atrasada,1
237,113388,2022-04-02,2022-04-09,548.97,aberta,0
238,51301,2025-02-13,2025-03-06,889.48,paga,0
239,54551,2022-06-29,2022-07-13,271.61,paga,0
240,55349,2025-04-08,2025-04-29,780.65,paga,0
241,56807,2025-04-16,2025-04-23,950.94,paga,0
242,92775,2025-01-13,2025-01-27,733.38,atrasada,1
243,19571,2024-07-07,2024-07-14,1078.28,aberta,0
244,114052,2022-10-07,2022-11-06,456.09,paga,0
245,67893,2022-12-06,2022-12-27,879.71,paga,0
246,77099,2024-04-13,2024-05-04,305.09,atrasada,15
247,91493,2025-08-20,2025-09-03,684.95,aberta,0
248,42138,2023-06-03,2023-07-03,454.83,paga,0
249,95625,2022-10-19,2022-11-02,249.92,aberta,0
250,209,2023-06-26,2023-07-26,725.23,atrasada,3
251,98793,2024-07-09,2024-07-23,374.97,paga,0
252,33586,2022-11-22,2022-12-06,1469.4,paga,0
253,51346,2022-09-10,2022-10-01,484.43,paga,0
254,59730,2023-04-15,2023-05-15,1490.01,paga,0
255,75328,2024-12-15,2025-01-14,287.01,paga,0
256,16420,2022-12-05,2022-12-19,505.4,paga,0
257,80132,2023-04-25,2023-05-16,688.92,aberta,0
258,103792,2025-09-29,2025-10-13,1544.8,paga,0
259,16132,2023-06-14,2023-07-05,675.62,paga,0
260,22173,2022-12-30,2023-01-06,437.82,paga,0
261,5689,2022-01-31,2022-03-02,1352.31,paga,0
262,5345,2024-11-13,2024-11-27,946.83,paga,0
263,108351,2024-05-15,2024-05-29,308.69,aberta,0
264,44245,2024-01-23,2024-02-06,454.29,paga,0
265,116547,2023-12-04,2023-12-18,1126.41,aberta,0
266,83957,2025-04-02,2025-04-02,814.76,paga,0
267,50337,2024-02-06,2024-02-27,940.01,atrasada,15
268,88934,2024-01-10,2024-01-24,454.98,paga,0
269,18384,2025-07-08,2025-07-22,718.54,paga,0
270,32480,2022-06-09,2022-06-30,681.9,paga,0
271,100110,2025-02-13,2025-02-27,405.04,paga,0
272,26983,2023-03-12,2023-03-26,1118.6,paga,0
273,76974,2024-02-24,2024-02-24,648.52,paga,0
274,96124,2024-11-07,2024-11-21,2110.02,paga,0
275,59622,2023-12-02,2023-12-23,457.09,paga,0
276,86380,2024-10-09,2024-10-30,795.14,atrasada,3
277,40786,2024-08-15,2024-09-05,1099.12,paga,0
278,88787,2024-05-27,2024-06-17,1022.72,atrasada,15
279,47062,2024-09-30,2024-10-30,446.16,paga,0
280,23916,2024-08-28,2024-09-11,408.94,paga,0
281,10022,2025-08-04,2025-08-11,282.38,paga,0
282,69489,2022-09-04,2022-09-25,919.43,aberta,0
283,71148,2024-12-29,2025-01-12,259.36,paga,0
284,68911,2023-11-03,2023-11-10,1161.26,aberta,0
285,10569,2023-01-18,2023-02-01,2385.98,aberta,0
286,104964,2025-08-14,2025-09-04,268.91,paga,0
287,21743,2024-11-07,2024-11-28,974.37,paga,0
288,47150,2024-02-02,2024-02-23,807.62,paga,0
289,7630,2025-07-20,2025-08-10,667.44,paga,0
290,82902,2023-03-03,2023-03-24,775.73,paga,0
291,41581,2023-05-18,2023-06-08,531.55,paga,0
292,24431,2023-06-29,2023-07-20,175.02,aberta,0
293,114275,2022-07-14,2022-07-28,1078.16,paga,0
294,31493,2023-08-06,2023-09-05,501.52,paga,0
295,53792,2024-09-22,2024-10-06,485.57,paga,0
296,83903,2024-02-27,2024-03-12,645.12,aberta,0
297,11196,2022-11-29,2022-12-29,758.19,paga,0
298,108776,2024-01-25,2024-02-15,379.72,paga,0
299,60802,2022-02-19,2022-03-05,498.34,paga,0
300,23974,2022-12-08,2023-01-07,483.15,paga,0
301,115380,2025-04-13,2025-05-04,1198.62,paga,0
302,86142,2022-08-06,2022-08-27,1672.5,paga,0
303,76905,2024-03-15,2024-04-14,1562.61,paga,0
304,79103,2024-12-13,2025-01-12,985.44,paga,0
305,20416,2024-04-23,2024-05-14,770.93,paga,0
306,26034,2024-05-29,2024-06-19,2423.79,paga,0
307,57332,2025-07-08,2025-07-29,1385.65,aberta,0
308,88156,2024-09-30,2024-10-30,1366.72,aberta,0
309,42879,2024-10-13,2024-11-12,1137.17,paga,0
310,26616,2025-04-27,2025-05-27,1584.01,paga,0
311,82644,2023-11-02,2023-12-02,330.73,paga,0
312,18485,2025-02-12,2025-02-12,667.74,paga,0
313,58643,2025-03-29,2025-04-12,667.7,paga,0
314,72945,2023-02-06,2023-02-27,380.32,paga,0
315,111914,2024-11-22,2024-12-22,1021.26,paga,0
316,30986,2025-01-05,2025-01-19,304.32,paga,0
317,77973,2025-04-04,2025-04-18,766.03,aberta,0
318,101543,2022-09-17,2022-10-17,754.44,paga,0
319,68458,2022-03-18,2022-04-08,547.74,paga,0
320,70028,2024-06-14,2024-07-05,772.57,paga,0
321,3956,2025-07-28,2025-08-18,698.02,aberta,0
322,26880,2023-06-09,2023-06-16,584.0,paga,0
323,100759,2022-02-21,2022-03-07,1044.07,paga,0
324,96599,2025-06-08,2025-07-08,796.1,paga,0
325,97374,2024-04-12,2024-05-03,466.17,paga,0
326,72537,2023-10-13,2023-10-20,1294.61,paga,0
327,86189,2024-11-15,2024-12-06,1622.09,aberta,0
328,66494,2023-07-02,2023-07-23,381.08,aberta,0
329,88710,2025-05-28,2025-06-27,814.07,paga,0
330,92330,2024-06-22,2024-07-13,364.01,aberta,0
331,64587,2025-01-10,2025-01-31,366.08,paga,0
332,67286,2025-01-13,2025-02-12,180.93,paga,0
333,66846,2025-08-28,2025-09-27,2496.54,paga,0
334,118261,2024-05-29,2024-06-19,764.45,paga,0
335,34519,2023-03-14,2023-03-28,921.5,paga,0
336,80186,2023-10-16,2023-10-30,721.43,atrasada,1
337,46092,2024-04-30,2024-04-30,910.01,paga,0
338,82087,2023-11-01,2023-11-22,383.41,paga,0
339,27930,2024-06-10,2024-06-24,565.03,paga,0
340,110831,2023-03-13,2023-04-03,480.69,paga,0
341,24724,2024-02-25,2024-03-17,216.21,paga,0
342,19557,2022-01-19,2022-02-18,620.61,paga,0
343,58359,2022-09-11,2022-10-11,270.62,paga,0
344,7303,2024-01-04,2024-01-25,709.17,paga,0
345,8530,2024-05-09,2024-05-30,904.25,paga,0
346,107111,2022-11-16,2022-12-07,439.38,aberta,0
347,88581,2022-10-25,2022-11-15,642.28,paga,0
348,77206,2023-07-22,2023-08-21,318.32,aberta,0
349,77008,2023-05-24,2023-06-14,879.76,paga,0
350,33461,2024-08-06,2024-08-13,378.77,aberta,0
351,56374,2025-05-03,2025-05-24,882.73,paga,0
352,16254,2023-07-28,2023-08-18,770.61,paga,0
353,48307,2024-09-13,2024-10-13,867.84,paga,0
354,103261,2022-04-02,2022-04-09,1509.27,paga,0
355,55526,2022-08-29,2022-09-19,296.16,paga,0
356,58494,2025-04-27,2025-05-11,1514.01,aberta,0
357,3896,2023-03-23,2023-04-13,781.2,paga,0
358,21850,2022-02-07,2022-03-09,436.53,paga,0
359,32816,2025-08-11,2025-08-18,376.09,aberta,0
360,45867,2022-05-10,2022-05-10,357.3,aberta,0
361,80044,2023-08-26,2023-09-16,239.19,paga,0
362,63499,2024-05-08,2024-05-29,253.02,paga,0
363,55950,2024-11-06,2024-12-06,914.9,paga,0
364,91577,2025-06-18,2025-07-09,666.38,paga,0
365,102817,2022-03-03,2022-03-03,737.59,paga,0
366,54513,2023-01-18,2023-02-08,418.68,aberta,0
367,56463,2022-04-27,2022-05-11,663.27,aberta,0
368,22058,2025-08-16,2025-08-30,1245.62,aberta,0
369,47090,2024-09-26,2024-10-26,401.08,paga,0
370,5975,2023-04-28,2023-05-12,888.02,paga,0
371,61367,2022-08-16,2022-09-15,1769.08,aberta,0
372,8043,2023-12-03,2023-12-17,1236.55,paga,0
373,103801,2024-09-11,2024-09-18,357.83,aberta,0
374,95659,2024-10-30,2024-11-06,399.73,aberta,0
375,6966,2023-12-05,2023-12-26,1465.98,paga,0
376,110155,2025-03-05,2025-04-04,1211.76,aberta,0
377,46902,2024-09-12,2024-09-19,600.37,paga,0
378,97155,2024-07-10,2024-07-31,2076.32,paga,0
379,38167,2024-04-12,2024-05-03,2449.25,paga,0
380,60035,2024-11-24,2024-12-01,896.84,paga,0
381,2834,2024-10-23,2024-11-13,511.67,atrasada,15
382,94888,2022-02-11,2022-02-18,652.2,atrasada,3
383,78184,2025-08-21,2025-09-20,661.34,aberta,0
384,45799,2024-07-28,2024-08-27,258.31,aberta,0
385,111225,2022-12-27,2023-01-17,1068.6,paga,0
386,74232,2023-10-01,2023-10-15,516.74,paga,0
387,34025,2022-08-14,2022-08-28,1152.3,paga,0
388,38059,2023-01-31,2023-02-21,428.78,paga,0
389,102103,2022-05-07,2022-05-21,801.34,paga,0
390,16144,2023-06-03,2023-06-10,885.95,paga,0
391,83212,2023-09-18,2023-10-18,1044.27,paga,0
392,78188,2022-11-19,2022-12-19,294.37,paga,0
393,57539,2024-10-20,2024-11-10,904.05,paga,0
394,22793,2024-11-01,2024-11-15,686.61,paga,0
395,35215,2023-08-17,2023-08-31,1871.33,paga,0
396,11477,2025-02-04,2025-03-06,689.59,aberta,0
397,85136,2023-05-04,2023-05-25,1600.88,paga,0
398,84975,2025-02-18,2025-03-11,453.63,atrasada,7
399,35245,2022-10-07,2022-10-14,502.11,paga,0
400,92489,2023-12-20,2024-01-10,1642.78,paga,0
401,12604,2024-12-03,2024-12-17,448.98,aberta,0
402,1593,2022-08-02,2022-08-09,1766.08,paga,0
403,21924,2024-06-13,2024-07-04,861.75,paga,0
404,39858,2024-08-28,2024-09-27,309.19,paga,0
405,32224,2024-02-02,2024-02-16,923.08,aberta,0
406,22644,2025-07-20,2025-08-19,396.15,paga,0
407,29506,2024-07-30,2024-08-13,86.6,paga,0
408,25543,2022-01-29,2022-02-19,1060.77,paga,0
409,30237,2023-09-06,2023-09-20,532.41,atrasada,3
410,62014,2025-04-19,2025-05-19,554.96,paga,0
411,17379,2024-03-13,2024-04-12,827.97,aberta,0
412,102102,2022-10-02,2022-10-23,1488.38,paga,0
413,41198,2023-11-29,2023-12-13,1132.61,paga,0
414,119594,2023-03-03,2023-03-17,627.51,paga,0
415,38007,2022-04-21,2022-04-28,741.1,paga,0
416,77587,2023-06-30,2023-07-30,452.5,paga,0
417,14944,2023-11-22,2023-11-29,664.65,paga,0
418,22719,2025-03-10,2025-03-24,339.05,paga,0
419,56973,2024-07-18,2024-08-17,328.55,paga,0
420,24298,2025-08-04,2025-09-03,939.23,paga,0
421,85034,2022-01-18,2022-02-08,665.25,paga,0
422,46432,2025-09-16,2025-10-07,466.88,paga,0
423,29496,2025-09-16,2025-09-16,711.69,aberta,0
424,110743,2023-03-05,2023-03-05,1138.96,paga,0
425,42012,2025-09-05,2025-10-05,737.09,paga,0
426,586,2022-08-18,2022-09-01,228.24,paga,0
427,97572,2023-03-31,2023-04-14,1098.65,paga,0
428,63645,2025-05-02,2025-05-09,561.53,aberta,0
429,13941,2025-04-03,2025-04-24,769.53,paga,0
430,111693,2025-01-21,2025-02-04,981.91,paga,0
431,74213,2025-09-01,2025-10-01,710.51,aberta,0
432,32423,2023-11-08,2023-11-22,335.08,paga,0
433,114614,2025-06-10,2025-07-10,173.39,aberta,0
434,48766,2023-08-29,2023-09-19,725.17,aberta,0
435,54650,2022-08-21,2022-09-11,507.67,paga,0
436,77885,2023-06-23,2023-07-23,496.04,paga,0
437,33012,2025-04-25,2025-05-02,791.49,paga,0
438,74225,2023-06-15,2023-07-06,1586.93,paga,0
439,42523,2022-09-02,2022-10-02,366.04,paga,0
440,1325,2022-01-26,2022-02-02,899.07,paga,0
441,11714,2025-05-27,2025-06-17,1099.05,aberta,0
442,113400,2024-06-08,2024-06-22,135.51,atrasada,7
443,31625,2025-01-04,2025-01-25,701.74,aberta,0
444,114808,2024-02-04,2024-02-18,226.07,paga,0
445,39118,2023-08-14,2023-08-28,674.69,paga,0
446,102787,2023-06-08,2023-06-22,680.84,paga,0
447,43773,2024-01-25,2024-02-15,676.83,paga,0
448,53434,2022-12-30,2023-01-06,352.18,paga,0
449,50776,2023-12-01,2023-12-08,66.81,paga,0
450,100501,2022-10-11,2022-10-18,449.07,paga,0
451,34068,2024-03-21,2024-04-20,1973.68,paga,0
452,32115,2024-10-29,2024-11-05,799.7,aberta,0
453,102713,2023-06-04,2023-06-11,1353.41,paga,0
454,69376,2025-01-10,2025-01-31,786.29,aberta,0
455,79169,2022-09-12,2022-09-26,381.0,paga,0
456,39950,2022-09-16,2022-09-16,487.59,paga,0
457,100237,2025-05-15,2025-05-22,716.67,paga,0
458,107929,2022-06-20,2022-07-20,687.39,paga,0
459,33073,2022-10-27,2022-11-17,360.54,paga,0
460,53323,2023-04-24,2023-05-24,930.26,aberta,0
461,30516,2022-10-11,2022-11-01,451.93,paga,0
462,76156,2024-12-05,2024-12-26,884.17,paga,0
463,76565,2022-07-25,2022-08-08,426.72,aberta,0
464,1231,2022-12-27,2023-01-03,754.32,aberta,0
465,69775,2025-06-04,2025-06-25,609.39,paga,0
466,6297,2022-01-10,2022-01-17,1526.27,paga,0
467,73587,2025-04-29,2025-05-29,444.56,paga,0
468,75969,2023-07-28,2023-08-11,1055.41,paga,0
469,19069,2022-05-09,2022-05-16,1343.65,aberta,0
470,54642,2024-05-13,2024-06-03,466.3,aberta,0
471,90142,2024-03-08,2024-03-29,1233.88,paga,0
472,4597,2022-02-24,2022-03-03,582.56,aberta,0
473,90690,2022-01-18,2022-01-18,452.65,paga,0
474,16914,2023-01-21,2023-02-11,1633.87,atrasada,7
475,21050,2025-05-31,2025-06-21,518.77,paga,0
476,61069,2024-02-19,2024-03-11,302.79,atrasada,7
477,79137,2025-03-26,2025-04-25,1096.53,paga,0
478,3374,2024-07-18,2024-07-18,1123.51,paga,0
479,57532,2025-06-25,2025-07-16,654.48,paga,0
480,110203,2023-12-07,2023-12-21,425.54,atrasada,1
481,35894,2025-01-26,2025-02-09,543.47,paga,0
482,65590,2024-01-14,2024-01-28,897.09,aberta,0
483,27197,2025-09-16,2025-09-30,749.94,paga,0
484,45542,2024-10-04,2024-11-03,579.12,paga,0
485,26399,2025-07-27,2025-08-10,534.03,paga,0
