id_pedido,id_cliente,id_vendedor,data_pedido,status_pedido
283,19534,23,2022-02-11,ganho
284,22791,73,2023-10-28,ganho
285,19093,15,2024-02-03,ganho
286,14893,44,2025-08-29,ganho
287,2938,80,2022-10-07,em_negociacao
288,24158,6,2025-03-02,ganho
289,24545,65,2024-05-29,ganho
290,17563,69,2022-12-04,ganho
291,3021,78,2022-11-29,ganho
292,6786,78,2025-09-20,ganho
293,4061,36,2022-03-03,em_negociacao
294,4725,194,2023-10-18,ganho
295,4351,42,2022-12-23,ganho
296,975,116,2025-09-16,ganho
297,16889,110,2024-02-11,em_negociacao
298,14739,23,2024-01-16,ganho
299,6857,120,2023-11-14,ganho
300,8554,50,2025-04-17,ganho
301,6330,163,2025-01-13,ganho
302,6538,118,2023-10-26,ganho
303,21379,3,2022-11-02,ganho
304,913,21,2023-07-01,ganho
305,138,16,2022-02-20,ganho
306,10539,107,2024-02-06,ganho
307,6195,29,2024-07-01,em_negociacao
308,14770,155,2025-06-16,ganho
309,18964,76,2023-02-17,ganho
310,21847,74,2024-07-26,ganho
311,1907,84,2025-08-10,em_negociacao
312,8912,38,2022-10-27,ganho
313,13098,146,2025-01-18,ganho
314,14646,34,2022-01-10,ganho
315,11875,27,2025-06-28,em_negociacao
316,9017,185,2023-06-01,ganho
317,8238,94,2024-07-28,ganho
318,15436,165,2022-12-31,ganho
319,1535,132,2024-01-01,ganho
320,11767,115,2024-03-23,ganho
321,1156,157,2024-05-20,ganho
322,4452,110,2023-07-23,ganho
323,447,19,2025-05-26,ganho
324,10084,200,2023-05-06,ganho
325,6421,26,2025-01-17,ganho
326,11137,89,2024-01-08,ganho
327,16956,96,2022-07-24,ganho
328,19479,164,2023-06-06,ganho
329,23056,38,2023-11-30,ganho
330,23670,178,2025-09-21,ganho
331,24653,89,2024-04-13,ganho
332,16770,159,2023-06-20,ganho
333,8781,192,2023-11-24,ganho
334,16007,169,2024-11-23,ganho
335,20046,8,2023-09-24,em_negociacao
336,8659,71,2024-12-14,ganho
337,19526,37,2023-03-11,ganho
338,9209,75,2022-12-31,ganho
339,5198,188,2022-02-18,ganho
340,12250,69,2022-02-07,ganho
341,20376,131,2025-04-03,em_negociacao
342,3734,108,2023-07-19,ganho
343,16174,107,2024-10-10,em_negociacao
344,13034,72,2022-08-02,em_negociacao
345,8021,2,2022-07-17,ganho
346,2928,88,2022-03-09,ganho
347,21918,57,2022-04-26,ganho
348,17830,191,2024-06-28,ganho
349,4584,116,2022-11-01,ganho
350,11216,47,2023-04-06,em_negociacao
351,15641,39,2025-05-24,ganho
352,6084,58,2025-06-28,ganho
353,9290,82,2022-10-20,ganho
354,11362,128,2024-05-21,em_negociacao
355,12791,7,2025-03-29,ganho
356,15620,185,2024-08-05,ganho
357,12480,94,2022-06-23,em_negociacao
358,20909,150,2022-01-31,ganho
359,8569,118,2025-08-31,ganho
360,15373,48,2024-09-28,ganho
361,21472,39,2023-10-12,ganho
362,5080,2,2023-08-02,em_negociacao
363,22372,32,2024-07-13,ganho
364,9434,137,2022-08-23,ganho
365,2876,163,2025-03-17,ganho
366,4798,150,2023-11-24,cancelado
367,1246,174,2023-03-05,em_negociacao
368,20641,139,2024-07-13,em_negociacao
369,253,85,2024-03-15,ganho
370,4383,126,2022-06-14,ganho
371,7998,76,2022-01-29,ganho
372,15055,31,2023-11-02,ganho
373,12492,143,2025-08-19,ganho
374,11467,7,2022-09-10,ganho
375,2921,108,2025-05-30,ganho
376,19373,96,2024-09-20,ganho
377,22897,138,2024-09-09,ganho
378,178,52,2025-04-22,ganho
379,10978,45,2022-12-16,ganho
380,15195,179,2025-08-24,em_negociacao
381,20260,150,2022-01-29,ganho
382,22154,56,2023-05-08,ganho
383,16188,110,2025-08-28,ganho
384,17008,82,2023-03-06,ganho
385,22771,165,2023-05-24,ganho
386,17942,17,2024-02-10,ganho
387,4055,51,2023-04-25,ganho
388,9532,43,2023-02-04,ganho
389,13218,140,2024-07-13,cancelado
390,23753,22,2023-10-04,ganho
391,6786,4,2023-07-02,ganho
392,16768,186,2023-06-28,ganho
393,8117,3,2025-02-01,ganho
394,10952,184,2022-08-16,ganho
395,8061,43,2025-03-05,ganho
396,2588,17,2022-04-23,ganho
397,10557,6,2025-07-01,ganho
398,2388,125,2022-03-22,ganho
399,4081,189,2023-09-28,em_negociacao
400,14124,165,2023-06-22,ganho
401,16608,42,2023-05-30,ganho
402,4285,1,2023-10-02,ganho
403,8699,122,2024-04-08,ganho
404,19181,137,2023-10-29,em_negociacao
405,2172,102,2023-08-30,em_negociacao
406,2077,128,2022-03-05,ganho
407,13595,28,2023-04-25,ganho
408,12597,196,2025-07-06,em_negociacao
409,8463,95,2022-12-06,ganho
410,17760,111,2023-05-29,cancelado
411,8194,173,2023-01-08,ganho
412,19116,157,2022-06-10,ganho
413,5387,47,2023-10-30,ganho
414,14281,88,2025-06-03,ganho
415,5556,16,2022-05-16,ganho
416,6468,153,2024-11-01,ganho
417,21149,37,2023-03-21,ganho
418,21487,107,2023-09-19,ganho
419,2187,8,2025-04-14,ganho
420,19754,171,2024-08-06,ganho
421,6501,13,2023-04-01,ganho
422,7037,11,2025-07-20,ganho
423,19018,96,2024-02-21,ganho
424,17419,94,2025-07-03,ganho
425,3326,2,2022-10-16,ganho
426,2028,138,2024-06-10,ganho
427,15997,56,2025-07-27,em_negociacao
428,20106,96,2024-06-29,em_negociacao
429,15248,48,2022-08-06,ganho
430,2775,121,2024-12-10,em_negociacao
431,6155,163,2022-10-16,ganho
432,17861,187,2025-03-12,ganho
433,8782,74,2022-02-03,em_negociacao
434,5866,180,2025-03-26,ganho
435,5942,185,2023-11-12,ganho
436,13783,195,2024-04-02,ganho
437,3989,5,2024-04-30,ganho
438,17887,178,2023-08-27,ganho
439,7309,119,2025-07-14,ganho
440,20504,37,2023-06-07,ganho
441,4691,43,2025-01-23,cancelado
442,9778,158,2024-01-28,ganho
443,19396,112,2024-04-09,ganho
444,13255,24,2022-02-20,ganho
445,6162,96,2022-02-16,ganho
446,17974,76,2022-06-15,ganho
447,2279,89,2023-01-17,ganho
448,24153,24,2025-01-10,ganho
449,21948,63,2025-02-17,ganho
450,8652,13,2023-10-29,ganho
451,823,175,2022-10-17,em_negociacao
452,24209,152,2025-04-16,cancelado
453,11528,43,2024-09-06,ganho
454,7021,124,2024-07-17,em_negociacao
455,6144,182,2024-05-06,ganho
456,13223,104,2023-04-20,ganho
457,21734,158,2024-04-13,ganho
458,20220,89,2024-05-21,em_negociacao
459,24991,153,2023-07-27,em_negociacao
460,17138,177,2023-09-21,ganho
461,5552,142,2024-01-06,em_negociacao
462,19552,41,2022-04-08,cancelado
463,13649,129,2022-08-20,ganho
464,8138,60,2022-06-01,cancelado
465,6074,76,2025-01-20,ganho
466,515,22,2022-08-13,ganho
467,21527,61,2022-04-19,ganho
468,23004,97,2025-06-13,ganho
469,12762,75,2025-03-31,ganho
470,789,150,2023-02-23,ganho
471,12683,69,2024-10-24,ganho
472,9859,4,2022-11-19,cancelado
473,13682,59,2023-12-01,ganho
474,14343,44,2023-02-22,ganho
475,23517,192,2023-09-12,em_negociacao
476,14601,145,2024-01-10,ganho
477,17865,184,2025-02-03,ganho
478,6666,7,2023-08-07,em_negociacao
479,15149,81,2023-03-10,em_negociacao
480,3569,155,2024-02-23,ganho
481,24599,59,2022-08-10,ganho
482,20498,85,2023-08-26,em_negociacao
483,7102,19,2025-09-08,ganho
484,7301,65,2023-03-28,ganho
485,6490,147,2024-08-14,em_negociacao
486,6865,188,2025-09-10,ganho
487,11090,183,2024-04-08,cancelado
488,22212,43,2024-01-01,ganho
489,16877,155,2022-05-29,em_negociacao
490,3029,21,2023-07-24,ganho
491,12836,186,2023-04-13,em_negociacao
492,23170,111,2024-10-08,cancelado
493,4761,97,2022-09-19,ganho
494,2583,177,2025-08-08,ganho
495,13621,45,2024-05-01,ganho
496,20972,18,2024-01-04,ganho
497,704,193,2022-11-17,ganho
498,4044,121,2022-03-16,ganho
499,9291,145,2023-07-26,cancelado
500,5764,163,2022-06-02,ganho
501,3914,90,2024-03-22,ganho
502,22941,115,2025-07-11,ganho
503,149,176,2025-09-10,em_negociacao
504,7778,142,2022-02-12,ganho
505,13960,47,2022-08-20,ganho
506,11618,127,2022-05-31,ganho
507,3464,141,2024-01-16,ganho
508,13277,31,2025-09-17,ganho
509,15861,9,2022-07-01,ganho
510,2260,157,2022-06-03,em_negociacao
511,22567,113,2024-10-10,ganho
512,1105,16,2023-10-02,ganho
513,2471,11,2023-08-01,ganho
514,20458,174,2022-12-20,em_negociacao
515,8156,56,2022-12-17,ganho
516,14261,70,2023-08-13,ganho
517,19295,44,2022-06-01,ganho
518,2247,124,2022-01-07,ganho
519,13741,195,2022-12-21,ganho
520,6048,35,2022-12-31,ganho
521,3457,117,2024-08-18,ganho
522,23862,41,2025-03-18,ganho
523,21623,161,2022-09-07,ganho
524,20888,24,2024-06-08,ganho
525,16141,40,2024-01-25,em_negociacao
526,13140,152,2022-01-17,cancelado
527,16075,43,2024-09-25,ganho
528,13827,169,2025-04-18,ganho
529,19017,149,2022-04-03,ganho
530,22014,79,2022-09-06,ganho
531,10786,22,2024-07-25,em_negociacao
532,3082,38,2023-06-26,ganho
533,10865,99,2024-06-19,ganho
534,21830,148,2024-10-05,em_negociacao
535,1035,50,2022-06-06,ganho
536,4067,57,2022-10-11,ganho
537,21479,9,2023-05-19,em_negociacao
538,1917,2,2025-06-25,ganho
539,14188,41,2023-05-16,ganho
540,24093,117,2022-10-29,ganho
541,21359,131,2025-06-05,ganho
542,10600,161,2024-05-04,ganho
543,19614,31,2025-01-23,ganho
544,5378,179,2023-03-27,ganho
545,21207,162,2023-02-15,ganho
546,5466,189,2024-09-23,ganho
547,885,160,2024-12-07,ganho
548,7404,98,2023-10-07,ganho
549,5285,3,2022-11-21,em_negociacao
550,23317,88,2025-06-24,ganho
551,14122,80,2025-08-31,ganho
552,1095,117,2024-04-03,ganho
553,21627,43,2023-07-24,ganho
554,24152,93,2025-02-04,ganho
555,4027,50,2023-08-02,ganho
556,12111,159,2025-07-17,ganho
557,3652,40,2023-12-28,ganho
558,10775,124,2025-05-06,ganho
559,8880,66,2024-03-25,ganho
560,1369,36,2024-06-02,em_negociacao
561,21805,9,2024-03-07,ganho
562,3842,63,2023-10-25,ganho
563,1465,29,2023-01-14,ganho
564,16486,152,2023-01-26,ganho
565,21257,141,2024-04-04,ganho
566,16023,192,2024-03-05,cancelado
567,14989,37,2023-03-06,em_negociacao
568,18853,2,2022-09-16,ganho
569,14865,78,2024-05-24,ganho
570,16851,49,2024-06-11,ganho
571,11542,132,2022-03-18,ganho
572,15008,166,2023-08-09,ganho
573,2688,110,2023-01-02,ganho
574,2747,25,2024-06-30,ganho
575,23062,75,2023-09-30,ganho
576,20350,25,2023-06-07,ganho
577,17509,155,2023-02-09,ganho
578,8225,169,2024-02-21,ganho
579,21539,2,2022-09-06,ganho
580,11473,164,2023-08-30,ganho
581,10615,170,2022-01-16,ganho
582,20043,72,2024-10-31,ganho
583,16743,4,2024-03-15,ganho
584,849,85,2024-10-26,ganho
585,7912,34,2024-04-21,em_negociacao
586,19932,17,2022-04-26,ganho
587,18647,47,2022-08-13,ganho
588,6035,51,2022-06-17,ganho
589,7810,54,2024-04-13,ganho
590,12822,6,2024-07-29,ganho
591,12883,158,2024-07-03,ganho
592,11966,156,2025-02-07,ganho
593,9614,128,2022-11-02,em_negociacao
594,18524,40,2025-04-23,ganho
595,15624,11,2022-11-15,ganho
596,7890,97,2023-09-09,ganho
597,10531,181,2025-04-11,ganho
598,23869,61,2025-01-23,ganho
599,24390,7,2024-09-30,ganho
600,21489,104,2024-09-20,ganho
601,2341,6,2025-04-28,ganho
602,19289,179,2022-10-16,ganho
603,5053,54,2023-06-10,ganho
604,12399,2,2024-01-11,ganho
605,5047,136,2023-05-06,ganho
606,8929,149,2025-01-26,ganho
607,4236,82,2024-03-15,ganho
608,2909,200,2024-07-08,ganho
609,23136,33,2023-10-12,ganho
610,17658,183,2024-11-12,ganho
611,13820,186,2023-10-19,ganho
612,14443,18,2022-09-06,ganho
613,11067,70,2022-11-10,ganho
614,22216,155,2022-05-03,em_negociacao
615,19920,128,2024-12-01,ganho
616,20835,155,2024-06-24,em_negociacao
617,8439,72,2023-08-12,em_negociacao
618,24877,166,2024-12-06,cancelado
619,19594,130,2024-08-28,ganho
620,13204,36,2022-10-06,ganho
621,2083,88,2023-07-08,cancelado
622,435,104,2025-01-13,em_negociacao
623,2518,63,2025-01-27,ganho
624,3915,128,2022-08-19,ganho
625,458,133,2025-02-28,ganho
626,8120,175,2022-08-21,ganho
627,24910,116,2025-01-28,ganho
628,13073,153,2024-11-13,cancelado
629,5053,195,2025-03-21,ganho
630,12980,67,2025-08-17,cancelado
631,7761,82,2024-02-27,em_negociacao
632,8888,141,2024-09-27,ganho
633,13502,85,2022-09-06,ganho
634,7397,26,2023-03-03,ganho
635,10803,135,2025-05-19,em_negociacao
636,21288,156,2025-04-04,ganho
637,13769,159,2025-05-20,em_negociacao
638,23285,27,2024-03-09,ganho
639,10525,146,2022-10-08,cancelado
640,21425,199,2025-03-02,ganho
641,16411,54,2025-05-29,em_negociacao
642,2998,87,2024-11-06,ganho
643,8885,165,2022-07-02,ganho
644,19420,133,2024-04-04,ganho
645,9982,182,2024-05-20,ganho
646,8891,1,2022-07-18,ganho
647,4566,138,2022-01-28,ganho
648,11021,139,2023-05-06,ganho
649,15632,184,2024-04-29,ganho
650,1836,117,2024-07-14,ganho
651,9148,155,2022-09-14,ganho
652,3012,79,2024-05-13,ganho
653,3335,106,2025-08-06,em_negociacao
654,21326,1,2023-02-26,ganho
655,22784,102,2024-05-02,ganho
656,18695,86,2024-03-19,ganho
657,4042,15,2024-01-22,ganho
658,15378,47,2022-02-06,ganho
659,17091,22,2024-05-15,ganho
660,4493,17,2024-08-25,ganho
661,19789,3,2023-05-04,em_negociacao
662,19100,77,2025-07-17,ganho
663,1296,149,2022-02-14,ganho
664,14675,33,2025-04-11,ganho
665,19765,11,2022-07-22,em_negociacao
666,2729,31,2023-11-20,ganho
667,23313,91,2024-09-30,ganho
668,7797,161,2024-03-08,em_negociacao
669,5819,161,2022-09-02,em_negociacao
670,475,24,2023-01-13,ganho
671,8712,126,2025-08-10,ganho
672,7202,87,2022-04-16,cancelado
673,11771,61,2024-09-22,ganho
674,15808,105,2022-08-06,ganho
675,17584,35,2022-02-28,em_negociacao
676,14022,124,2022-01-25,ganho
677,16730,192,2022-01-18,ganho
678,5545,125,2025-05-30,ganho
679,17652,90,2023-07-10,ganho
680,9472,78,2022-12-30,ganho
681,12317,20,2022-07-17,ganho
682,18019,113,2022-05-17,ganho
683,8484,23,2024-08-06,ganho
684,7195,163,2024-06-30,ganho
685,24128,133,2023-08-17,ganho
686,14599,143,2023-11-02,ganho
687,11766,61,2025-06-09,ganho
688,3250,139,2022-10-19,cancelado
689,16538,122,2024-07-13,em_negociacao
690,2034,166,2022-04-16,ganho
691,10863,118,2025-02-06,cancelado
692,7589,138,2024-12-31,ganho
693,16018,173,2022-03-07,ganho
694,21420,140,2023-04-30,cancelado
695,18035,3,2024-10-04,ganho
696,24989,111,2025-01-03,ganho
697,1205,24,2024-06-20,ganho
698,22557,91,2025-04-15,em_negociacao
699,982,30,2022-11-15,ganho
700,14352,197,2024-02-07,ganho
701,9731,111,2023-02-01,ganho
702,12773,43,2023-12-14,ganho
703,24308,49,2024-07-07,ganho
704,19735,114,2022-08-05,em_negociacao
705,8099,44,2024-02-23,ganho
706,3625,90,2024-03-21,ganho
707,13710,126,2022-04-13,ganho
708,9777,3,2024-11-25,ganho
709,2520,178,2022-10-03,ganho
710,19250,113,2023-07-17,ganho
711,3866,139,2024-03-20,ganho
712,8394,70,2024-11-10,ganho
713,10540,9,2022-12-13,ganho
714,9843,72,2025-08-19,ganho
715,24727,88,2025-03-16,cancelado
716,6795,19,2024-05-14,ganho
717,2376,152,2022-01-10,ganho
718,15585,107,2023-11-15,ganho
719,21055,162,2023-04-03,ganho
720,12422,154,2023-07-15,ganho
721,12461,177,2022-07-18,ganho
722,2940,167,2022-02-03,ganho
723,22287,118,2024-12-23,cancelado
724,18243,106,2024-10-25,ganho
725,13453,113,2023-05-29,ganho
726,22289,73,2022-09-19,cancelado
727,9306,78,2022-10-27,ganho
728,9329,89,2022-04-21,ganho
729,23404,26,2022-05-19,ganho
730,24675,134,2024-02-04,ganho
731,11100,70,2023-10-22,em_negociacao
732,18851,115,2022-08-04,em_negociacao
733,13204,70,2025-09-29,ganho
734,21523,162,2024-03-03,ganho
735,24333,142,2024-01-18,ganho
736,6660,113,2024-12-23,cancelado
737,22022,117,2022-07-31,em_negociacao
738,8175,125,2025-01-06,ganho
739,12204,50,2025-05-08,cancelado
740,15211,42,2022-06-07,ganho
741,22009,115,2025-05-11,ganho
742,22013,26,2022-02-27,ganho
743,15099,43,2023-04-13,ganho
744,16381,69,2022-04-09,ganho
745,14311,188,2022-08-13,ganho
746,10999,141,2023-05-04,ganho
747,9911,185,2023-10-15,em_negociacao
748,12357,95,2023-11-21,cancelado
749,8375,151,2025-08-04,ganho
750,10412,170,2024-03-18,ganho
751,10936,126,2022-06-29,ganho
752,17759,46,2022-11-21,ganho
